epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1544.42,1.14702,0.94609,0.89859,0.95989,0.8,0.88148,0.67287,1.08213,0.8636,1.0992,0.000581,0.000581,0.000581
45,1578.54,1.19309,0.89036,0.91471,0.96646,0.82333,0.86941,0.59953,1.19035,0.91259,1.11344,0.000548,0.000548,0.000548
46,1613.18,1.15225,0.81999,0.90113,0.96,0.82857,0.87506,0.61711,1.2056,0.87212,1.10062,0.000515,0.000515,0.000515
47,1647.45,1.06094,0.81495,0.90804,0.95934,0.82857,0.87242,0.59765,1.2072,0.90894,1.097,0.000482,0.000482,0.000482
48,1682.09,1.13126,0.88428,0.9365,0.93532,0.82644,0.88023,0.59105,1.23016,0.99817,1.11616,0.000449,0.000449,0.000449
49,1716.08,1.12178,0.81686,0.92406,0.95199,0.82857,0.89158,0.60881,1.31492,0.96898,1.12461,0.000416,0.000416,0.000416
50,1749.86,1.06006,0.77397,0.89035,0.97009,0.8,0.89311,0.63825,1.23324,0.96266,1.09117,0.000383,0.000383,0.000383
51,1784.5,1.14013,0.94088,0.90327,0.95853,0.8,0.86446,0.62129,1.24738,1.00736,1.09518,0.00035,0.00035,0.00035
52,1818.09,1.1291,0.89739,0.91594,1,0.73914,0.83184,0.60982,1.24767,1.19956,1.10687,0.000317,0.000317,0.000317
53,1852.21,1.11064,0.82115,0.87771,0.91241,0.77143,0.82885,0.60524,1.24814,1.05993,1.08198,0.000284,0.000284,0.000284
54,1886.12,1.14681,0.8413,0.94434,0.9623,0.74286,0.83916,0.59478,1.15558,1.03351,1.07101,0.000251,0.000251,0.000251
55,1919.99,1.13282,0.83263,0.8831,0.98959,0.71429,0.8544,0.5909,1.15441,0.99497,1.07499,0.000218,0.000218,0.000218
56,1953.95,1.07083,0.81951,0.88893,0.90264,0.79483,0.8633,0.61705,1.14274,0.93584,1.07782,0.000185,0.000185,0.000185
57,1988.01,1.02306,0.80827,0.88419,0.87607,0.8081,0.87179,0.62833,1.15822,0.91176,1.0908,0.000152,0.000152,0.000152
58,2022.11,1.0794,0.77454,0.87902,0.95668,0.8,0.87818,0.63588,1.13759,0.88087,1.08776,0.000119,0.000119,0.000119
59,2056.34,1.05463,0.81423,0.89963,0.92804,0.82857,0.90463,0.66895,1.12673,0.80924,1.07148,8.6e-05,8.6e-05,8.6e-05
60,2090.6,1.04437,0.75239,0.94129,0.96649,0.82412,0.90807,0.66763,1.12142,0.81008,1.0735,5.3e-05,5.3e-05,5.3e-05
